"Gene_A"	"Gene_B"
"KRTAP23-1"	"TNS2"
"KRTAP23-1"	"RBPMS"
"ANO9"	"DLG1"
"SLC22A23"	"PSMA3"
"SLC22A23"	"KRTAP5-9"
"SLC22A23"	"KRTAP10-8"
"SLC22A23"	"NOTCH2NLA"
"SNX26"	"RAC1"
"BICDL2"	"KLC3"
"ODAM"	"TOLLIP"
"ILVBL"	"TOM1"
"ILVBL"	"XRCC6"
"ILVBL"	"ATXN1"
"ILVBL"	"CEP76"
"ERICH2"	"SDCBP"
"ERICH2"	"MACROH2A1"
"ERICH2"	"IWS1"
"SYCE3"	"INPP1"
"SYCE3"	"HAUS1"
"SYCE3"	"BLOC1S6"
"ELOVL7"	"DTNBP1"
"MT1DP"	"MEOX2"
"MT1DP"	"KRTAP10-5"
"MT1DP"	"KRTAP10-9"
"C20ORF12"	"GFI1B"
"GAGE12B|GAGE12C|GAGE12D|GAGE12E"	"FLJ13057"
"GAGE12B|GAGE12C|GAGE12D|GAGE12E"	"GMCL2"
"GAGE12B|GAGE12C|GAGE12D|GAGE12E"	"GMCL1"
"NUTM2F"	"GRB2"
"NUTM2F"	"MORN4"
"NUTM2F"	"ZNF148"
"ARSE"	"NDN"
"ARSE"	"COQ6"
"SSC5D"	"NUP62"
"SSC5D"	"TRAF1"
"SSC5D"	"MED21"
"SSC5D"	"NECAB2"
"SSC5D"	"DTNBP1"
"SSC5D"	"CEP170P1"
"SSC5D"	"EXOC7"
"SSC5D"	"SEC23IP"
"FSD2"	"LATS1"
"FSD2"	"FAM107A"
"FSD2"	"ESD"
"FSD2"	"ZNF20"
"FSD2"	"PSMB4"
"FSD2"	"AQP1"
"FSD2"	"CORO1A"
"FSD2"	"PBX3"
"FSD2"	"BEX3"
"FSD2"	"FMR1"
"FSD2"	"TLE5"
"FSD2"	"MYBPC2"
"FSD2"	"PPP2R5D"
"FSD2"	"ZNF124"
"FSD2"	"ZSCAN26"
"FSD2"	"FAM161A"
"FSD2"	"ZC2HC1C"
"FSD2"	"PPP1R18"
"FSD2"	"CDC73"
"FSD2"	"KANSL1"
"FSD2"	"ZNF572"
"FSD2"	"ZNF410"
"FSD2"	"FAM90A1"
"FSD2"	"IFT20"
"FSD2"	"TCEANC"
"FSD2"	"ZBTB38"
"FSD2"	"CCDC112"
"FSD2"	"ZNF417"
"FSD2"	"CCHCR1"
"FSD2"	"PIK3R3"
"FSD2"	"LENG1"
"FSD2"	"ZMAT2"
"FSD2"	"ZNF587"
